iter	Passed	Remaining
698	905	390
699	907	388
700	908	387
701	909	386
702	910	384
703	912	383
704	913	382
705	914	380
706	915	379
707	916	378
708	917	376
709	918	375
710	919	373
711	921	372
712	922	371
713	923	369
714	924	368
715	925	367
716	927	365
717	928	364
718	929	363
719	930	361
720	931	360
721	932	359
722	934	357
723	935	356
724	936	355
725	938	354
726	939	352
727	940	351
728	941	350
729	942	348
730	944	347
731	945	346
732	946	344
733	947	343
734	949	342
735	950	340
736	951	339
737	952	338
738	953	336
739	955	335
740	956	334
741	957	332
742	958	331
743	959	330
744	960	328
745	961	327
746	962	326
747	963	324
748	965	323
749	966	322
750	967	320
751	968	319
752	969	318
753	970	316
754	971	315
755	972	313
756	973	312
757	975	311
758	976	309
759	977	308
760	978	307
761	979	305
762	980	304
763	980	303
764	981	301
765	982	300
766	983	298
767	984	297
768	985	296
769	986	294
770	987	293
771	988	291
772	989	290
773	990	289
774	991	287
775	992	286
776	993	285
777	994	283
778	995	282
779	996	281
780	997	279
781	999	278
782	1000	277
783	1001	275
784	1002	274
785	1003	273
786	1004	271
787	1005	270
788	1006	269
789	1007	267
790	1008	266
791	1009	265
792	1010	263
793	1012	262
794	1013	261
795	1014	259
796	1015	258
797	1016	257
798	1017	255
799	1018	254
800	1019	253
801	1020	251
802	1021	250
803	1022	249
804	1023	247
805	1024	246
806	1025	245
807	1026	243
808	1027	242
809	1028	241
810	1029	240
811	1031	238
812	1032	237
813	1033	236
814	1034	234
815	1035	233
816	1036	232
817	1037	230
818	1038	229
819	1039	228
820	1040	226
821	1041	225
822	1043	224
823	1044	223
824	1045	221
825	1046	220
826	1048	219
827	1049	217
828	1050	216
829	1051	215
830	1052	213
831	1053	212
832	1054	211
833	1055	210
834	1056	208
835	1057	207
836	1058	206
837	1059	204
838	1060	203
839	1061	202
840	1063	200
841	1064	199
842	1065	198
843	1066	197
844	1067	195
845	1068	194
846	1069	193
847	1070	191
848	1071	190
849	1072	189
850	1073	188
851	1074	186
852	1076	185
853	1077	184
854	1078	182
855	1079	181
856	1080	180
857	1081	178
858	1082	177
859	1083	176
860	1084	175
861	1085	173
862	1086	172
863	1087	171
864	1088	169
865	1090	168
866	1091	167
867	1092	166
868	1093	164
869	1094	163
870	1095	162
871	1096	160
872	1097	159
873	1098	158
874	1099	157
875	1100	155
876	1101	154
877	1103	153
878	1104	151
879	1105	150
880	1106	149
881	1107	148
882	1108	146
883	1109	145
884	1110	144
885	1111	143
886	1112	141
887	1113	140
888	1114	139
889	1115	137
890	1116	136
891	1118	135
892	1119	134
893	1120	132
894	1121	131
895	1122	130
896	1123	128
897	1124	127
898	1125	126
899	1126	125
900	1127	123
901	1128	122
902	1129	121
903	1130	120
904	1131	118
905	1132	117
906	1133	116
907	1134	114
908	1135	113
909	1137	112
910	1138	111
911	1139	109
912	1140	108
913	1141	107
914	1142	106
915	1143	104
916	1144	103
917	1145	102
918	1146	101
919	1147	99
920	1148	98
921	1149	97
922	1150	96
923	1152	94
924	1153	93
925	1154	92
926	1155	90
927	1156	89
928	1157	88
929	1158	87
930	1159	85
931	1160	84
932	1161	83
933	1162	82
934	1163	80
935	1164	79
936	1165	78
937	1166	77
938	1167	75
939	1168	74
940	1169	73
941	1170	72
942	1172	70
943	1173	69
944	1174	68
945	1175	67
946	1176	65
947	1177	64
948	1178	63
949	1179	62
950	1180	60
951	1181	59
952	1182	58
953	1183	57
954	1184	55
955	1186	54
956	1187	53
957	1188	52
958	1189	50
959	1190	49
960	1191	48
961	1192	47
962	1193	45
963	1194	44
964	1195	43
965	1196	42
966	1197	40
967	1198	39
968	1200	38
969	1201	37
970	1202	35
971	1203	34
972	1204	33
973	1205	32
974	1206	30
975	1207	29
976	1208	28
977	1209	27
978	1210	25
979	1211	24
980	1212	23
981	1214	22
982	1215	21
983	1216	19
984	1217	18
985	1218	17
986	1219	16
987	1220	14
988	1221	13
989	1222	12
990	1223	11
991	1224	9
992	1225	8
993	1226	7
994	1228	6
995	1229	4
996	1230	3
997	1231	2
998	1232	1
999	1233	0
